Cell	Plate	Condition1	Condition2	Gene	logFC	logCPM	PValue
A	1	CTRL	SUN	HBB	-1.5189399299277	6.60924271520113	4.70134349091455e-37
A	1	CTRL	SUN	MT2A	0.507719017875402	9.1158487015275	5.23372848735882e-11
A	1	CTRL	SUN	VIM	0.450804531472984	11.1930276421421	4.45050492001436e-10
A	1	CTRL	SUN	S100A4	-0.494870783219334	9.6189464565319	5.34766065977749e-10
A	1	CTRL	SUN	COL21A1	-0.882044435395036	4.91611910490857	2.52583337951011e-08
A	1	CTRL	SUN	RBM3	0.449280229428175	7.78572581768431	1.49385849518875e-07
A	1	CTRL	SUN	RPS9	0.383197215057928	9.56694413592075	4.83065924463444e-07
A	1	CTRL	SUN	SLN	-0.688268115486247	5.3669775109824	5.13968844850747e-07
A	1	CTRL	SUN	THBS1	-0.349960088519714	9.38456541147647	1.23937897820098e-05
A	1	CTRL	SUN	COL15A1	-0.499057699797539	6.06665074271426	1.95368514074941e-05
A	1	CTRL	SUN	RPL22	0.309855654843725	10.8042464163128	2.35740049941041e-05
A	1	CTRL	SUN	HAPLN1	0.344225945020533	7.70217681698421	5.91830680707781e-05
A	1	CTRL	SUN	SH3BGR	0.320414540050067	8.72411435079338	5.94782476782492e-05
A	1	CTRL	SUN	AHNAK	-0.348752997543696	8.11733055939431	6.02157296014439e-05
A	1	CTRL	SUN	GPR1	0.385026453008112	6.73080901665193	9.08208935005023e-05
A	1	CTRL	SUN	PRRX1	-0.583096008174811	4.90669180594372	0.000106884673365092
A	1	CTRL	SUN	HMGB2	0.336135609476051	7.5579845211132	0.000133428679421629
A	1	CTRL	SUN	OGN	-0.822241856687694	3.91001242273212	0.00016336957139825
A	1	CTRL	SUN	MMP1	0.830832612947821	3.47595789842757	0.000225019536836283
A	1	CTRL	SUN	VCAM1	-0.546573907801531	4.9660657782913	0.000233830803676985
A	1	CTRL	SUN	ZFHX4	-0.752318112147072	4.12100017962061	0.000291653605318666
A	1	CTRL	SUN	TDRD7	-1.62930580135774	2.31521580911801	0.000295424872740372
A	1	CTRL	SUN	TULP3	0.484380365945933	5.01915711641196	0.000305701349979401
A	1	CTRL	SUN	CCPG1	0.324980208013983	7.31624258118086	0.000320913202093575
A	1	CTRL	SUN	SFPQ	-0.491533195297486	5.27599189865691	0.000376692458957658
A	1	CTRL	SUN	GOT1	0.381795678918117	6.19635741300451	0.000397931064385995
A	1	CTRL	SUN	DDIT3	0.295483542060341	7.73677786418033	0.000451421507281398
A	1	CTRL	SUN	SLC2A3	0.389590101476286	5.85817914899623	0.000554536332033319
A	1	CTRL	SUN	COL14A1	-0.33448152219752	7.20117643905157	0.000568157001718505
A	1	CTRL	SUN	PI16	-1.21085623820469	2.71941498139057	0.000569855675942553
A	1	CTRL	SUN	RPL28	0.255548475377628	10.3642503827363	0.00058900905028827
A	1	CTRL	SUN	LOC100506136	1.99551950277197	1.32007334373106	0.000604868772153022
A	1	CTRL	SUN	THY1	-0.672696754214115	4.14960131311551	0.000734867080048691
A	1	CTRL	SUN	FBLN1	-0.482796005651419	5.08467465147733	0.000753948692345176
A	1	CTRL	SUN	MLEC	-0.46656681288844	5.38468516339623	0.000795294698454553
A	1	CTRL	SUN	ANK3	-0.441149144815205	5.36408395517269	0.000898287993662339
A	1	CTRL	SUN	NPR3	-0.307149514998592	7.43652441422805	0.000916320197899291
A	1	CTRL	SUN	PIGG	-0.99926108882925	3.08565274414561	0.0010248551082627
A	1	CTRL	SUN	NTM	0.354795217192817	6.08343409618151	0.00107347175208318
A	1	CTRL	SUN	RAB31	0.313106605714114	7.06903068525207	0.00111189458031536
